,Distance
512,8.616303864
513,8.616303864
514,8.616303864
515,11.848833
516,8.616303864
517,8.616303864
518,8.616303864
519,8.616303864
520,8.616303864
521,11.848833
522,8.616303864
523,8.616303864
524,8.616303864
525,8.616303864
526,11.848833
527,11.848833
528,8.616303864
529,8.616303864
530,8.616303864
531,8.616303864
532,8.616303864
533,8.616303864
534,8.616303864
535,8.616303864
536,8.616303864
537,8.616303864
538,8.616303864
539,8.616303864
540,11.848833
541,8.616303864
542,8.616303864
543,9.636417391
544,11.848833
545,8.616303864
546,9.636417391
547,8.616303864
548,8.616303864
549,9.636417391
550,9.636417391
551,11.848833
552,11.848833
553,13.93040426
554,8.616303864
555,8.616303864
556,8.616303864
557,11.848833
558,8.616303864
559,8.616303864
560,8.616303864
561,11.848833
562,9.636417391
563,8.616303864
564,8.616303864
565,8.616303864
566,9.636417391
567,9.636417391
568,8.616303864
569,11.848833
570,11.848833
571,8.616303864
572,9.636417391
573,9.636417391
574,8.616303864
575,8.616303864
576,8.616303864
577,8.616303864
578,8.616303864
579,8.616303864
580,8.616303864
581,8.616303864
582,11.848833
583,8.616303864
584,9.636417391
585,8.616303864
586,11.848833
587,8.616303864
588,8.616303864
589,9.636417391
590,8.616303864
591,11.0136755
592,8.616303864
593,8.616303864
594,8.616303864
595,8.616303864
596,8.616303864
597,11.848833
598,8.616303864
599,8.616303864
600,11.848833
601,8.616303864
602,11.848833
603,11.848833
604,11.848833
605,9.636417391
606,8.616303864
607,8.616303864
608,8.616303864
609,11.848833
610,8.616303864
611,8.616303864
612,8.616303864
613,8.616303864
614,8.616303864
615,8.616303864
616,8.616303864
617,8.616303864
618,11.848833
619,11.848833
620,11.848833
621,11.848833
622,9.636417391
623,8.616303864
624,8.616303864
625,8.616303864
626,8.616303864
627,8.616303864
628,8.616303864
629,8.616303864
630,8.616303864
631,11.848833
632,8.616303864
633,8.616303864
634,8.616303864
635,8.616303864
636,11.848833
637,11.848833
638,11.848833
639,8.616303864
640,8.616303864
641,8.616303864
642,8.616303864
643,8.616303864
644,8.616303864
645,8.616303864
646,8.616303864
647,8.616303864
648,8.616303864
649,8.616303864
650,11.848833
651,8.616303864
652,8.616303864
653,8.616303864
654,8.616303864
655,8.616303864
656,8.616303864
657,8.616303864
658,8.616303864
659,8.616303864
660,8.616303864
661,11.848833
662,8.616303864
663,8.616303864
664,8.616303864
665,9.636417391
666,8.616303864
667,8.616303864
668,8.616303864
669,8.616303864
670,11.848833
671,11.848833
672,11.848833
673,8.616303864
674,8.616303864
675,8.616303864
676,8.616303864
677,8.616303864
678,9.636417391
679,8.616303864
680,8.616303864
681,11.848833
682,8.616303864
683,8.616303864
684,8.616303864
685,8.616303864
686,8.616303864
687,8.616303864
688,8.616303864
689,8.616303864
690,8.616303864
691,8.616303864
692,8.616303864
